,0,1,2,3
"[5.0, 5.0, 35.0, 35.0]",0.0,0.0,0.0,0.0
"[5.0, 45.0, 35.0, 75.0]",0.0,0.0,0.0,0.0
"[45.0, 45.0, 75.0, 75.0]",0.0,0.0,0.0,0.0
"[45.0, 85.0, 75.0, 115.0]",0.0,0.0,0.0,0.0
"[85.0, 45.0, 115.0, 75.0]",0.0,0.0,0.0,0.0
"[125.0, 45.0, 155.0, 75.0]",0.0,0.0,0.0,0.0
"[125.0, 5.0, 155.0, 35.0]",0.0,0.0,0.0,0.0
"[165.0, 5.0, 195.0, 35.0]",0.0,0.0,0.0,0.0
"[165.0, 45.0, 195.0, 75.0]",0.0,0.0,0.0,0.0
"[85.0, 5.0, 115.0, 35.0]",0.0,0.0,0.0,0.0
"[45.0, 5.0, 75.0, 35.0]",0.0,0.0,0.0,0.0
"[5.0, 85.0, 35.0, 115.0]",0.0,0.0,0.0,0.0
"[5.0, 125.0, 35.0, 155.0]",0.0,0.0,0.0,0.0
"[45.0, 125.0, 75.0, 155.0]",0.0,0.0,-0.01,0.0
"[5.0, 165.0, 35.0, 195.0]",0.0,0.0,0.0,0.0
"[45.0, 165.0, 75.0, 195.0]",0.0,0.0,0.0,0.0
"[85.0, 165.0, 115.0, 195.0]",0.0,0.0,0.0,0.0
terminal,0.0,0.0,0.0,0.0
"[85.0, 205.0, 115.0, 235.0]",0.0,0.0,0.0,0.0
"[125.0, 205.0, 155.0, 235.0]",0.0,0.0,0.0,0.0
"[165.0, 205.0, 195.0, 235.0]",0.0,0.0,0.0,0.0
"[125.0, 165.0, 155.0, 195.0]",0.0,0.0,0.0,0.0
"[165.0, 165.0, 195.0, 195.0]",0.0,0.0,0.0,0.0
"[205.0, 205.0, 235.0, 235.0]",0.0,0.0,0.0,0.0
"[245.0, 205.0, 275.0, 235.0]",0.0,0.0,0.0,0.0
"[245.0, 165.0, 275.0, 195.0]",0.0,0.0,0.0,0.0
"[285.0, 165.0, 315.0, 195.0]",0.0,0.0,0.0,0.0
"[245.0, 125.0, 275.0, 155.0]",0.0,0.0,0.0,0.0
"[285.0, 125.0, 315.0, 155.0]",0.0,0.0,0.0,0.0
"[285.0, 85.0, 315.0, 115.0]",0.0,0.0,0.0,0.0
"[245.0, 85.0, 275.0, 115.0]",0.0,0.0,0.0,0.0
"[205.0, 85.0, 235.0, 115.0]",0.0,0.0,0.0,0.0
"[205.0, 45.0, 235.0, 75.0]",0.0,0.0,0.0,0.0
"[205.0, 5.0, 235.0, 35.0]",0.0,0.0,0.0,0.0
"[165.0, 85.0, 195.0, 115.0]",0.0,0.0,0.0,0.0
"[245.0, 5.0, 275.0, 35.0]",0.0,0.0,0.0,0.0
"[245.0, 45.0, 275.0, 75.0]",0.0,0.0,0.0,0.0
"[285.0, 5.0, 315.0, 35.0]",0.0,0.0,0.0,0.0
"[285.0, 45.0, 315.0, 75.0]",0.0,0.0,0.0,0.0
"[5.0, 5.0, 35.0, 35.0]",0.0,0.0,0.0,0.0
"[45.0, 5.0, 75.0, 35.0]",0.0,0.0,0.0,0.0
"[45.0, 45.0, 75.0, 75.0]",0.0,0.0,0.0,0.0
"[45.0, 85.0, 75.0, 115.0]",0.0,0.0,0.0,0.0
"[5.0, 85.0, 35.0, 115.0]",0.0,0.0,0.0,0.0
"[5.0, 45.0, 35.0, 75.0]",0.0,0.0,0.0,0.0
"[85.0, 85.0, 115.0, 115.0]",0.0,-0.01,-0.01,0.0
"[85.0, 5.0, 115.0, 35.0]",0.0,0.0,0.0,0.0
"[85.0, 45.0, 115.0, 75.0]",0.0,0.0,0.0,0.0
"[125.0, 45.0, 155.0, 75.0]",0.0,-0.01,0.0,0.0
"[165.0, 45.0, 195.0, 75.0]",0.0,0.0,0.0,0.0
"[205.0, 45.0, 235.0, 75.0]",0.0,0.0,0.0,0.0
"[205.0, 5.0, 235.0, 35.0]",0.0,0.0,0.0,0.0
"[245.0, 45.0, 275.0, 75.0]",0.0,0.0,0.0,0.0
"[285.0, 45.0, 315.0, 75.0]",0.0,0.0,0.0,0.0
"[285.0, 5.0, 315.0, 35.0]",0.0,0.0,0.0,0.0
"[325.0, 5.0, 355.0, 35.0]",0.0,0.0,0.0,0.0
"[325.0, 45.0, 355.0, 75.0]",0.0,0.0,0.0,0.0
"[245.0, 5.0, 275.0, 35.0]",0.0,0.0,0.0,0.0
"[205.0, 85.0, 235.0, 115.0]",0.0,0.0,0.0,0.0
"[165.0, 85.0, 195.0, 115.0]",0.0,0.0,0.0,-0.01
"[5.0, 125.0, 35.0, 155.0]",0.0,0.0,0.0,0.0
"[125.0, 5.0, 155.0, 35.0]",0.0,0.0,0.0,0.0
"[325.0, 85.0, 355.0, 115.0]",0.0,0.0,0.0,0.0
"[285.0, 85.0, 315.0, 115.0]",0.0,0.0,0.0,0.0
"[245.0, 85.0, 275.0, 115.0]",0.0,0.0,0.0,0.0
